created,uuid,link,is_duplicate,duplicate_for,is_hard
2024-06-01 00:05:43,23fac2f2-7f00-48cb-b3ac-aac8caa3b6b4,https://s3.ritm.media/yappy-db-duplicates/23fac2f2-7f00-48cb-b3ac-aac8caa3b6b4.mp4,False,,False
2024-06-01 00:11:01,2fa37210-3c25-4a87-88f2-1242c2c8a699,https://s3.ritm.media/yappy-db-duplicates/2fa37210-3c25-4a87-88f2-1242c2c8a699.mp4,False,,False
2024-06-01 00:13:20,31cc33d5-95de-4799-ad01-87c8498d1bde,https://s3.ritm.media/yappy-db-duplicates/31cc33d5-95de-4799-ad01-87c8498d1bde.mp4,False,,False
2024-06-01 00:27:23,03abd0ec-609e-4eea-9f2a-b6b7442bc881,https://s3.ritm.media/yappy-db-duplicates/03abd0ec-609e-4eea-9f2a-b6b7442bc881.mp4,False,,False
2024-06-01 00:30:23,22ee0045-004b-4c7e-98f2-77e5e02e2f15,https://s3.ritm.media/yappy-db-duplicates/22ee0045-004b-4c7e-98f2-77e5e02e2f15.mp4,False,,False
2024-06-01 00:32:15,30483386-cb96-48a3-9875-0aed3d427d5f,https://s3.ritm.media/yappy-db-duplicates/30483386-cb96-48a3-9875-0aed3d427d5f.mp4,False,,False
2024-06-01 00:35:01,2408bc4f-9411-470e-b7c3-8c19b964f7be,https://s3.ritm.media/yappy-db-duplicates/2408bc4f-9411-470e-b7c3-8c19b964f7be.mp4,False,,False
2024-06-01 00:38:04,4182b2d2-4264-41dd-b101-4c1c66f4bdab,https://s3.ritm.media/yappy-db-duplicates/4182b2d2-4264-41dd-b101-4c1c66f4bdab.mp4,False,,False
2024-06-01 00:41:33,1e9efc51-a74c-4f32-b03e-71905f8d6dd1,https://s3.ritm.media/yappy-db-duplicates/1e9efc51-a74c-4f32-b03e-71905f8d6dd1.mp4,False,,True
2024-06-01 01:00:13,2d53a527-5b97-43db-ba0c-0731edd04e9a,https://s3.ritm.media/yappy-db-duplicates/2d53a527-5b97-43db-ba0c-0731edd04e9a.mp4,False,,False
2024-06-01 01:11:45,0d0558ec-e417-4255-b1cd-a8ed7f4892b9,https://s3.ritm.media/yappy-db-duplicates/0d0558ec-e417-4255-b1cd-a8ed7f4892b9.mp4,False,,False
2024-06-01 01:14:28,1977a7ee-88f0-43d4-b2c5-f074c2104ddc,https://s3.ritm.media/yappy-db-duplicates/1977a7ee-88f0-43d4-b2c5-f074c2104ddc.mp4,False,,False
2024-06-01 01:18:49,3bfc5e46-2c1b-459c-8c13-688539ddcec3,https://s3.ritm.media/yappy-db-duplicates/3bfc5e46-2c1b-459c-8c13-688539ddcec3.mp4,False,,False
2024-06-01 01:25:29,328178f6-781a-4afb-8631-966e956d531e,https://s3.ritm.media/yappy-db-duplicates/328178f6-781a-4afb-8631-966e956d531e.mp4,False,,False
2024-06-01 01:27:16,16a91af7-f3ac-4517-a051-5240b30f3217,https://s3.ritm.media/yappy-db-duplicates/16a91af7-f3ac-4517-a051-5240b30f3217.mp4,False,,False
2024-06-01 01:28:29,139a2a32-8ea1-4eae-9a0d-d9534e1dfd88,https://s3.ritm.media/yappy-db-duplicates/139a2a32-8ea1-4eae-9a0d-d9534e1dfd88.mp4,False,,False
2024-06-01 01:35:06,0d31f7ff-d65e-4350-aa48-26e2b380684f,https://s3.ritm.media/yappy-db-duplicates/0d31f7ff-d65e-4350-aa48-26e2b380684f.mp4,False,,False
2024-06-01 01:41:07,4b1acc2d-69aa-4161-9fc3-fb706ebc9d4a,https://s3.ritm.media/yappy-db-duplicates/4b1acc2d-69aa-4161-9fc3-fb706ebc9d4a.mp4,False,,False
2024-06-01 01:42:08,4efa449b-bd84-47f7-a9b1-eb3f5b4bfb31,https://s3.ritm.media/yappy-db-duplicates/4efa449b-bd84-47f7-a9b1-eb3f5b4bfb31.mp4,False,,False
2024-06-01 01:52:23,3d8304d8-b202-4c1c-bcb8-998fb7f767ae,https://s3.ritm.media/yappy-db-duplicates/3d8304d8-b202-4c1c-bcb8-998fb7f767ae.mp4,False,,False
2024-06-01 01:58:01,2da574f2-5ae7-4d85-9f5b-c2970a315c1c,https://s3.ritm.media/yappy-db-duplicates/2da574f2-5ae7-4d85-9f5b-c2970a315c1c.mp4,False,,False
2024-06-01 02:01:50,4fbeba57-89b7-4eb9-9491-65c77f103c44,https://s3.ritm.media/yappy-db-duplicates/4fbeba57-89b7-4eb9-9491-65c77f103c44.mp4,False,,False
2024-06-01 02:42:02,4618de8b-dee7-4afb-8e47-a9b6340a67a8,https://s3.ritm.media/yappy-db-duplicates/4618de8b-dee7-4afb-8e47-a9b6340a67a8.mp4,False,,False
2024-06-01 02:51:21,291e8f1f-e271-436e-a442-fbb8272fe911,https://s3.ritm.media/yappy-db-duplicates/291e8f1f-e271-436e-a442-fbb8272fe911.mp4,False,,False
2024-06-01 02:52:52,1f456014-6910-48f0-9df7-7826d7374d3c,https://s3.ritm.media/yappy-db-duplicates/1f456014-6910-48f0-9df7-7826d7374d3c.mp4,False,,False
2024-06-01 02:53:14,4e08422f-ef2a-4e71-900a-c347b01be247,https://s3.ritm.media/yappy-db-duplicates/4e08422f-ef2a-4e71-900a-c347b01be247.mp4,False,,False
2024-06-01 03:01:21,3739da22-e526-43b7-a5d5-673b905f0908,https://s3.ritm.media/yappy-db-duplicates/3739da22-e526-43b7-a5d5-673b905f0908.mp4,False,,False
2024-06-01 03:10:40,3a3d1958-5d8e-45b2-87d7-43374a3e632c,https://s3.ritm.media/yappy-db-duplicates/3a3d1958-5d8e-45b2-87d7-43374a3e632c.mp4,False,,False
2024-06-01 03:12:02,0b8aa188-3111-4ba7-9f23-9dd13bcbd115,https://s3.ritm.media/yappy-db-duplicates/0b8aa188-3111-4ba7-9f23-9dd13bcbd115.mp4,False,,False
2024-06-01 03:13:14,25a6ddb1-9159-48d4-837b-be07419c1514,https://s3.ritm.media/yappy-db-duplicates/25a6ddb1-9159-48d4-837b-be07419c1514.mp4,False,,False
2024-06-01 03:14:26,3a720a5a-fa2c-4a47-aa0b-88ab328d9ebc,https://s3.ritm.media/yappy-db-duplicates/3a720a5a-fa2c-4a47-aa0b-88ab328d9ebc.mp4,False,,False
2024-06-01 03:17:47,3bed5041-57bf-4a4f-975c-7a76bfb10d78,https://s3.ritm.media/yappy-db-duplicates/3bed5041-57bf-4a4f-975c-7a76bfb10d78.mp4,False,,False
2024-06-01 03:59:32,40ed82d8-3490-4775-89c7-3ff558c97eef,https://s3.ritm.media/yappy-db-duplicates/40ed82d8-3490-4775-89c7-3ff558c97eef.mp4,False,,False
2024-06-01 04:09:35,42a6af69-95a1-4d6c-8d83-bd14c52dfcb9,https://s3.ritm.media/yappy-db-duplicates/42a6af69-95a1-4d6c-8d83-bd14c52dfcb9.mp4,False,,False
2024-06-01 04:19:11,54c43f0f-0103-4d95-9967-32e6a7d9c93e,https://s3.ritm.media/yappy-db-duplicates/54c43f0f-0103-4d95-9967-32e6a7d9c93e.mp4,False,,False
2024-06-01 04:23:03,0be9045f-b66c-47a8-85db-54e2df9c280c,https://s3.ritm.media/yappy-db-duplicates/0be9045f-b66c-47a8-85db-54e2df9c280c.mp4,False,,False
2024-06-01 04:27:16,0f3a2707-b9e1-4236-b133-ff7b9017a23b,https://s3.ritm.media/yappy-db-duplicates/0f3a2707-b9e1-4236-b133-ff7b9017a23b.mp4,False,,False
2024-06-01 04:31:32,01fae389-647a-40bb-8009-bf3608c80a46,https://s3.ritm.media/yappy-db-duplicates/01fae389-647a-40bb-8009-bf3608c80a46.mp4,False,,False
2024-06-01 04:36:05,136cd5ef-5335-4238-af5f-8beb38a4cdee,https://s3.ritm.media/yappy-db-duplicates/136cd5ef-5335-4238-af5f-8beb38a4cdee.mp4,False,,False
